"STATION","NAME","DATE","AWND","DAPR","DASF","MDPR","MDSF","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","TSUN","WDF2","WDF5","WESD","WESF","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT10","WT11"
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-05-15",,,,,,,"0.05",,,,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-05-16",,,,,,,"0.31",,,,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-05-17",,,,,,,"1.17",,,,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-05-18",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-05-19",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-05-20",,,,,,,"0.06",,,,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-05-21",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-05-22",,,,,,,"0.10",,,,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-05-23",,,,,,,"0.16",,,,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-05-25",,"    2",,"0.27",,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-05-26",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-05-27",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-05-28",,,,,,,"0.00",,,,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-05-29",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,
